
Fri Jun 09 16:15:37 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 1,16:15:37.256511400,16:15:39.145145,1,Dogru,

Fri Jun 09 16:15:37 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
1,1.0,1,0,


Fri Jun 09 18:36:18 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 1,18:36:18.985264500,18:36:20.614135500,1,Dogru,

Fri Jun 09 18:36:18 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
1,1.0,1,0,


Fri Jun 09 18:48:03 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 2,18:48:03.551474100,18:48:09.336084600,5,Dogru,
2 x 1,18:48:09.336084600,18:48:10.912301600,2,Dogru,

Fri Jun 09 18:48:03 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
2,7.0,2,0,


Fri Jun 09 18:48:13 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
2 x 2,18:48:13.590015200,18:48:19.558966,5,Dogru,
1 x 2,18:48:19.558966,18:48:20.939535600,2,Dogru,

Fri Jun 09 18:48:13 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
2,7.0,2,0,


Fri Jun 09 18:48:23 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 1,18:48:23.473899700,18:48:25.110313500,1,Dogru,
2 x 2,18:48:25.110313500,18:48:27.186002100,2,Dogru,

Fri Jun 09 18:48:23 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
2,3.0,2,0,


Fri Jun 09 19:07:45 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
2 x 2,19:07:45.814856700,19:07:47.707958100,1,Dogru,
2 x 2,19:07:47.707958100,19:07:50.702078600,3,Dogru,

Fri Jun 09 19:07:45 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
2,4.0,2,0,


Fri Jun 09 19:07:53 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 1,19:07:53.872328500,19:07:55.477623900,1,Dogru,
1 x 1,19:07:55.477623900,19:07:56.617819800,1,Dogru,

Fri Jun 09 19:07:53 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
2,2.0,2,0,


Fri Jun 09 19:09:54 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
3 x 3,19:09:54.350014200,19:09:55.791515900,1,Dogru,
3 x 1,19:09:55.791515900,19:09:57.224792700,1,Yanlis,
3 x 3,19:09:57.224792700,19:09:58.700767800,2,Dogru,

Fri Jun 09 19:09:54 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
3,4.0,2,1,


Fri Jun 09 19:55:29 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
2 x 2,19:55:29.697409700,19:55:31.287315900,1,Dogru,
5 x 4,19:55:31.287315900,19:55:32.815294800,2,Dogru,
5 x 1,19:55:32.815294800,19:55:34.331157300,1,Dogru,
3 x 5,19:55:34.331157300,19:55:35.853882,2,Dogru,
5 x 1,19:55:35.853882,19:55:37.224776400,1,Yanlis,

Fri Jun 09 19:55:29 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
5,7.0,4,1,


Fri Jun 09 20:17:07 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
4 x 2,20:17:07.263746100,20:17:08.624492800,1,Dogru,
2 x 1,20:17:08.624492800,20:17:09.735000200,1,Dogru,
3 x 1,20:17:09.735000200,20:17:11.062095200,1,Dogru,
3 x 4,20:17:11.062095200,20:17:12.621947800,2,Dogru,

Fri Jun 09 20:17:07 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
4,5.0,4,0,


